id,product,pol_year,rate
1,UVL01,1,1.00
2,UVL01,2,1.00
3,UVL01,3,1.00
4,UVL01,4,1.00
5,UVL01,5,0.80
6,UVL01,6,0.60
7,UVL01,7,0.40
8,UVL01,8,0.20
9,UVL01,9,0.10
10,UVL01,10,0.00
11,UVL01,11,0.00
12,UVL01,12,0.00
13,UVL01,13,0.00
14,UVL01,14,0.00
15,UVL01,15,0.00
16,UVL01,16,0.00
17,UVL01,17,0.00
18,UVL01,18,0.00
19,UVL01,19,0.00
20,UVL01,20,0.00
21,UVL01,21,0.00
22,UVL01,22,0.00
23,UVL01,23,0.00
24,UVL01,24,0.00
25,UVL01,25,0.00
26,UVL01,26,0.00
27,UVL01,27,0.00
28,UVL01,28,0.00
29,UVL01,29,0.00
30,UVL01,30,0.00
31,UVL01,31,0.00
32,UVL01,32,0.00
33,UVL01,33,0.00
34,UVL01,34,0.00
35,UVL01,35,0.00
36,UVL01,36,0.00
37,UVL01,37,0.00
38,UVL01,38,0.00
39,UVL01,39,0.00
40,UVL01,40,0.00
41,UVL01,41,0.00
42,UVL01,42,0.00
43,UVL01,43,0.00
44,UVL01,44,0.00
45,UVL01,45,0.00
46,UVL01,46,0.00
47,UVL01,47,0.00
48,UVL01,48,0.00
49,UVL01,49,0.00
50,UVL01,50,0.00
51,UVL01,51,0.00
52,UVL01,52,0.00
53,UVL01,53,0.00
54,UVL01,54,0.00
55,UVL01,55,0.00
56,UVL01,56,0.00
57,UVL01,57,0.00
58,UVL01,58,0.00
59,UVL01,59,0.00
60,UVL01,60,0.00
61,UVL01,61,0.00
62,UVL01,62,0.00
63,UVL01,63,0.00
64,UVL01,64,0.00
65,UVL01,65,0.00
66,UVL01,66,0.00
67,UVL01,67,0.00
68,UVL01,68,0.00
69,UVL01,69,0.00
70,UVL01,70,0.00
71,UVL01,71,0.00
72,UVL01,72,0.00
73,UVL01,73,0.00
74,UVL01,74,0.00
75,UVL01,75,0.00
76,UVL01,76,0.00
77,UVL01,77,0.00
78,UVL01,78,0.00
79,UVL01,79,0.00
80,UVL01,80,0.00
81,UVL01,81,0.00
82,UVL01,82,0.00
83,UVL01,83,0.00
84,UVL01,84,0.00
85,UVL01,85,0.00
86,UVL01,86,0.00
87,UVL01,87,0.00
88,UVL01,88,0.00
89,UVL01,89,0.00
90,UVL01,90,0.00
91,UVL01,91,0.00
92,UVL01,92,0.00
93,UVL01,93,0.00
94,UVL01,94,0.00
95,UVL01,95,0.00
96,UVL01,96,0.00
97,UVL01,97,0.00
98,UVL01,98,0.00
99,UVL01,99,0.00
100,UVL01,100,0.00
101,UVL02,1,1.00
102,UVL02,2,1.00
103,UVL02,3,1.00
104,UVL02,4,0.85
105,UVL02,5,0.65
106,UVL02,6,0.45
107,UVL02,7,0.25
108,UVL02,8,0.20
109,UVL02,9,0.10
110,UVL02,10,0.00
111,UVL02,11,0.00
112,UVL02,12,0.00
113,UVL02,13,0.00
114,UVL02,14,0.00
115,UVL02,15,0.00
116,UVL02,16,0.00
117,UVL02,17,0.00
118,UVL02,18,0.00
119,UVL02,19,0.00
120,UVL02,20,0.00
121,UVL02,21,0.00
122,UVL02,22,0.00
123,UVL02,23,0.00
124,UVL02,24,0.00
125,UVL02,25,0.00
126,UVL02,26,0.00
127,UVL02,27,0.00
128,UVL02,28,0.00
129,UVL02,29,0.00
130,UVL02,30,0.00
131,UVL02,31,0.00
132,UVL02,32,0.00
133,UVL02,33,0.00
134,UVL02,34,0.00
135,UVL02,35,0.00
136,UVL02,36,0.00
137,UVL02,37,0.00
138,UVL02,38,0.00
139,UVL02,39,0.00
140,UVL02,40,0.00
141,UVL02,41,0.00
142,UVL02,42,0.00
143,UVL02,43,0.00
144,UVL02,44,0.00
145,UVL02,45,0.00
146,UVL02,46,0.00
147,UVL02,47,0.00
148,UVL02,48,0.00
149,UVL02,49,0.00
150,UVL02,50,0.00
151,UVL02,51,0.00
152,UVL02,52,0.00
153,UVL02,53,0.00
154,UVL02,54,0.00
155,UVL02,55,0.00
156,UVL02,56,0.00
157,UVL02,57,0.00
158,UVL02,58,0.00
159,UVL02,59,0.00
160,UVL02,60,0.00
161,UVL02,61,0.00
162,UVL02,62,0.00
163,UVL02,63,0.00
164,UVL02,64,0.00
165,UVL02,65,0.00
166,UVL02,66,0.00
167,UVL02,67,0.00
168,UVL02,68,0.00
169,UVL02,69,0.00
170,UVL02,70,0.00
171,UVL02,71,0.00
172,UVL02,72,0.00
173,UVL02,73,0.00
174,UVL02,74,0.00
175,UVL02,75,0.00
176,UVL02,76,0.00
177,UVL02,77,0.00
178,UVL02,78,0.00
179,UVL02,79,0.00
180,UVL02,80,0.00
181,UVL02,81,0.00
182,UVL02,82,0.00
183,UVL02,83,0.00
184,UVL02,84,0.00
185,UVL02,85,0.00
186,UVL02,86,0.00
187,UVL02,87,0.00
188,UVL02,88,0.00
189,UVL02,89,0.00
190,UVL02,90,0.00
191,UVL02,91,0.00
192,UVL02,92,0.00
193,UVL02,93,0.00
194,UVL02,94,0.00
195,UVL02,95,0.00
196,UVL02,96,0.00
197,UVL02,97,0.00
198,UVL02,98,0.00
199,UVL02,99,0.00
200,UVL02,100,0.00
201,UVL03,1,0.45
202,UVL03,2,0.40
203,UVL03,3,0.30
204,UVL03,4,0.20
205,UVL03,5,0.10
206,UVL03,6,0.00
207,UVL03,7,0.00
208,UVL03,8,0.00
209,UVL03,9,0.00
210,UVL03,10,0.00
211,UVL03,11,0.00
212,UVL03,12,0.00
213,UVL03,13,0.00
214,UVL03,14,0.00
215,UVL03,15,0.00
216,UVL03,16,0.00
217,UVL03,17,0.00
218,UVL03,18,0.00
219,UVL03,19,0.00
220,UVL03,20,0.00
221,UVL03,21,0.00
222,UVL03,22,0.00
223,UVL03,23,0.00
224,UVL03,24,0.00
225,UVL03,25,0.00
226,UVL03,26,0.00
227,UVL03,27,0.00
228,UVL03,28,0.00
229,UVL03,29,0.00
230,UVL03,30,0.00
231,UVL03,31,0.00
232,UVL03,32,0.00
233,UVL03,33,0.00
234,UVL03,34,0.00
235,UVL03,35,0.00
236,UVL03,36,0.00
237,UVL03,37,0.00
238,UVL03,38,0.00
239,UVL03,39,0.00
240,UVL03,40,0.00
241,UVL03,41,0.00
242,UVL03,42,0.00
243,UVL03,43,0.00
244,UVL03,44,0.00
245,UVL03,45,0.00
246,UVL03,46,0.00
247,UVL03,47,0.00
248,UVL03,48,0.00
249,UVL03,49,0.00
250,UVL03,50,0.00
251,UVL03,51,0.00
252,UVL03,52,0.00
253,UVL03,53,0.00
254,UVL03,54,0.00
255,UVL03,55,0.00
256,UVL03,56,0.00
257,UVL03,57,0.00
258,UVL03,58,0.00
259,UVL03,59,0.00
260,UVL03,60,0.00
261,UVL03,61,0.00
262,UVL03,62,0.00
263,UVL03,63,0.00
264,UVL03,64,0.00
265,UVL03,65,0.00
266,UVL03,66,0.00
267,UVL03,67,0.00
268,UVL03,68,0.00
269,UVL03,69,0.00
270,UVL03,70,0.00
271,UVL03,71,0.00
272,UVL03,72,0.00
273,UVL03,73,0.00
274,UVL03,74,0.00
275,UVL03,75,0.00
276,UVL03,76,0.00
277,UVL03,77,0.00
278,UVL03,78,0.00
279,UVL03,79,0.00
280,UVL03,80,0.00
281,UVL03,81,0.00
282,UVL03,82,0.00
283,UVL03,83,0.00
284,UVL03,84,0.00
285,UVL03,85,0.00
286,UVL03,86,0.00
287,UVL03,87,0.00
288,UVL03,88,0.00
289,UVL03,89,0.00
290,UVL03,90,0.00
291,UVL03,91,0.00
292,UVL03,92,0.00
293,UVL03,93,0.00
294,UVL03,94,0.00
295,UVL03,95,0.00
296,UVL03,96,0.00
297,UVL03,97,0.00
298,UVL03,98,0.00
299,UVL03,99,0.00
300,UVL03,100,0.00
301,ILP01,1,1.00
302,ILP01,2,1.00
303,ILP01,3,1.00
304,ILP01,4,1.00
305,ILP01,5,0.80
306,ILP01,6,0.60
307,ILP01,7,0.40
308,ILP01,8,0.20
309,ILP01,9,0.10
310,ILP01,10,0.00
311,ILP01,11,0.00
312,ILP01,12,0.00
313,ILP01,13,0.00
314,ILP01,14,0.00
315,ILP01,15,0.00
316,ILP01,16,0.00
317,ILP01,17,0.00
318,ILP01,18,0.00
319,ILP01,19,0.00
320,ILP01,20,0.00
321,ILP01,21,0.00
322,ILP01,22,0.00
323,ILP01,23,0.00
324,ILP01,24,0.00
325,ILP01,25,0.00
326,ILP01,26,0.00
327,ILP01,27,0.00
328,ILP01,28,0.00
329,ILP01,29,0.00
330,ILP01,30,0.00
331,ILP01,31,0.00
332,ILP01,32,0.00
333,ILP01,33,0.00
334,ILP01,34,0.00
335,ILP01,35,0.00
336,ILP01,36,0.00
337,ILP01,37,0.00
338,ILP01,38,0.00
339,ILP01,39,0.00
340,ILP01,40,0.00
341,ILP01,41,0.00
342,ILP01,42,0.00
343,ILP01,43,0.00
344,ILP01,44,0.00
345,ILP01,45,0.00
346,ILP01,46,0.00
347,ILP01,47,0.00
348,ILP01,48,0.00
349,ILP01,49,0.00
350,ILP01,50,0.00
351,ILP01,51,0.00
352,ILP01,52,0.00
353,ILP01,53,0.00
354,ILP01,54,0.00
355,ILP01,55,0.00
356,ILP01,56,0.00
357,ILP01,57,0.00
358,ILP01,58,0.00
359,ILP01,59,0.00
360,ILP01,60,0.00
361,ILP01,61,0.00
362,ILP01,62,0.00
363,ILP01,63,0.00
364,ILP01,64,0.00
365,ILP01,65,0.00
366,ILP01,66,0.00
367,ILP01,67,0.00
368,ILP01,68,0.00
369,ILP01,69,0.00
370,ILP01,70,0.00
371,ILP01,71,0.00
372,ILP01,72,0.00
373,ILP01,73,0.00
374,ILP01,74,0.00
375,ILP01,75,0.00
376,ILP01,76,0.00
377,ILP01,77,0.00
378,ILP01,78,0.00
379,ILP01,79,0.00
380,ILP01,80,0.00
381,ILP01,81,0.00
382,ILP01,82,0.00
383,ILP01,83,0.00
384,ILP01,84,0.00
385,ILP01,85,0.00
386,ILP01,86,0.00
387,ILP01,87,0.00
388,ILP01,88,0.00
389,ILP01,89,0.00
390,ILP01,90,0.00
391,ILP01,91,0.00
392,ILP01,92,0.00
393,ILP01,93,0.00
394,ILP01,94,0.00
395,ILP01,95,0.00
396,ILP01,96,0.00
397,ILP01,97,0.00
398,ILP01,98,0.00
399,ILP01,99,0.00
400,ILP01,100,0.00
